"position","value"
1,161
101,126
201,124
301,106
401,52
501,86
601,111
701,81
801,89
901,112
1001,100
1101,129
1201,82
1301,105
1401,113
1501,64
1601,163
1701,117
1801,74
1901,82
2001,73
2101,82
2201,79
2301,89
2401,106
2501,137
2601,191
2701,122
2801,75
2901,125
3001,135
3101,109
3201,82
3301,97
3401,100
3501,68
3601,90
3701,72
3801,93
3901,76
4001,129
4101,99
4201,91
4301,91
4401,97
4501,104
4601,139
4701,96
4801,101
4901,60
5001,82
5101,111
5201,120
5301,84
5401,98
5501,128
5601,131
5701,46
5801,89
5901,121
6001,118
6101,48
6201,87
6301,110
6401,77
6501,88
6601,133
6701,176
6801,99
6901,146
7001,99
7101,109
7201,73
7301,69
7401,123
7501,70
7601,123
7701,69
7801,63
7901,112
8001,105
8101,90
8201,71
8301,123
8401,102
8501,165
8601,120
8701,92
8801,84
8901,80
9001,94
9101,137
9201,84
9301,98
9401,102
9501,71
9601,108
9701,117
9801,135
9901,148
10001,84
10101,99
10201,109
10301,115
10401,99
10501,141
10601,100
10701,104
10801,81
10901,95
11001,104
11101,121
11201,128
11301,164
11401,111
11501,92
11601,84
11701,85
11801,133
11901,97
12001,153
12101,97
12201,82
12301,102
12401,147
12501,64
12601,92
12701,93
12801,105
12901,123
13001,102
13101,119
13201,64
13301,91
13401,101
13501,106
13601,172
13701,112
13801,111
13901,81
14001,107
14101,117
14201,107
14301,92
14401,69
14501,72
14601,113
14701,97
14801,73
14901,65
15001,83
15101,105
15201,112
15301,187
15401,81
15501,78
15601,91
15701,109
15801,149
15901,87
16001,91
16101,118
16201,95
16301,100
16401,108
16501,93
16601,101
16701,81
16801,126
16901,93
17001,92
17101,85
17201,144
17301,70
17401,159
17501,104
17601,64
17701,96
17801,70
17901,103
18001,64
18101,116
18201,89
18301,127
18401,138
18501,51
18601,96
18701,113
18801,138
18901,102
19001,99
19101,104
19201,104
19301,57
19401,64
19501,79
19601,126
19701,67
19801,75
19901,91
20001,154
20101,96
20201,72
20301,141
20401,96
20501,80
20601,80
20701,114
20801,70
20901,83
21001,115
21101,99
21201,71
21301,67
21401,128
21501,83
21601,89
21701,70
21801,67
21901,85
22001,158
22101,102
22201,51
22301,138
22401,101
22501,90
22601,96
22701,105
22801,97
22901,101
23001,74
23101,104
23201,73
23301,140
23401,97
23501,152
23601,57
23701,129
23801,99
23901,74
24001,76
24101,143
24201,90
24301,129
24401,122
24501,105
24601,55
24701,102
24801,108
24901,66
25001,138
25101,89
25201,119
25301,53
25401,61
25501,101
25601,99
25701,123
25801,97
25901,63
26001,80
26101,79
26201,90
26301,117
26401,92
26501,87
26601,129
26701,168
26801,134
26901,60
27001,149
27101,88
